stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
160,160,Stone at Stone Road Mall eastbound,Stone Road West,43.517608,-80.236658,,,,,,0
162,162,Edinburgh at Ironwood southbound,Edinburgh Road South,43.516369,-80.228883,,,,,,0
163,163,Edinburgh at Crowe southbound,Edinburgh Road South,43.515565,-80.223325,,,,,,0
164,164,Edinburgh at Rodgers southbound,Edinburgh Road South,43.512617,-80.218908,,,,,,0
165,165,Edinburgh at Southcreek southbound,Edinburgh Road South,43.51118,-80.214575,,,,,,0
166,166,Edinburgh at Rickson eastbound,Edinburgh Road South,43.5115,-80.20935,,,,,,0
167,167,Edinburgh at Carrington eastbound,Edinburgh Road South,43.513537,-80.206628,,,,,,0
168,168,Gordon at Edinburgh northbound,Gordon Street,43.516617,-80.203247,,,,,,0
169,169,Gordon at Landsdown northbound,Gordon Street,43.518469,-80.20579,,,,,,0
170,170,Gordon at Harts northbound,Gordon Street,43.519631,-80.207474,,,,,,0
171,171,1030 Gordon northbound,1030 Gordon Street,43.520878,-80.209999,,,,,,0
173,173,Gordon at Hands northbound,Gordon Street,43.524265,-80.216914,,,,,,0
174,174,Gordon at Monticello northbound,Gordon Street,43.525791,-80.221775,0,,,,,0
203,203,Gordon at James southbound,Gordon Street,43.537291,-80.239938,,,,,,0
204,204,Gordon at Dean southbound,Gordon Street,43.534074,-80.235461,,,,,,0
207,207,Stone at Edinburgh westbound,Stone Road West,43.520394,-80.233332,0,,,,,0
210,210,Fife at Wellington westbound,Fife Road,43.517835,-80.270269,,,,,,0
211,211,Fife at Gateway westbound,Fife Road,43.515645,-80.273225,,,,,,0
212,212,Fife at Deerfield westbound,Fife Road,43.513901,-80.275585,,,,,,0
213,213,Elmira at West Acres northbound,Elmira Road South,43.516387,-80.278779,,,,,,0
214,214,Elmira at Freshmeadow northbound,Elmira Road South,43.518933,-80.282056,,,,,,0
215,215,Elmira at Stephanie northbound,Elmira Road South,43.521053,-80.287271,,,,,,0
